What year did World War II end?,1945,1939,1950,1918,History
Who was the first President of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,History
What year did the Titanic sink?,1912,1908,1915,1920,History
Which civilization built the Great Wall of China?,Ancient China,Ancient Egypt,Mayans,Greeks,History
Who discovered America?,Christopher Columbus,Leif Erikson,Marco Polo,Vasco da Gama,History
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Geography
Which continent is the largest by land area?,Asia,Africa,North America,South America,Geography
What is the longest river in the world?,Nile River,Amazon River,Yangtze River,Mississippi River,Geography
What is the largest desert in the world?,Sahara Desert,Gobi Desert,Arabian Desert,Kalahari Desert,Geography
Which country is known as the Land of the Rising Sun?,Japan,China,India,United Kingdom,Geography
What is the chemical symbol for water?,H2O,CO2,NaCl,O2,Science
What is the atomic number of carbon?,6,8,12,14,Science
Which gas makes up the majority of the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon,Science
What is the process by which plants make their own food called?,Photosynthesis,Respiration,Fermentation,Transpiration,Science
What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,Geography
Who wrote the novel "To Kill a Mockingbird"?,Harper Lee,Stephen King,J.K. Rowling,Charles Dickens,Literature
What is the chemical symbol for gold?,Au,Ag,Fe,Pb,Science
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,Astronomy
What is the tallest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse,Geography
Who painted the famous artwork "Starry Night"?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,Art
What is the currency of Japan?,Japanese yen,US dollar,Euro,British pound,Economics
Which animal is known as the "King of the Jungle"?,Lion,Tiger,Leopard,Cheetah,Animals
Who is known as the Father of Modern Physics?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Science
What is the largest organ in the human body?,Skin,Heart,Brain,Liver,Anatomy
Who is known as the King of Pop?,Michael Jackson,Elvis Presley,Prince,Justin Timberlake,Music
Which band released the album "The Dark Side of the Moon"?,Pink Floyd,The Beatles,Queen,The Rolling Stones,Music
Who is the lead vocalist of the band Queen?,Freddie Mercury,John Lennon,David Bowie,Mick Jagger,Music
Which singer is known for hits like "Uptown Funk" and "24K Magic"?,Bruno Mars,Ed Sheeran,Justin Bieber,Adele,Music
Which genre of music originated in Jamaica in the late 1960s?,Reggae,Blues,Rock,Pop,Music
Who wrote the novel "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,Margaret Atwood,Literature
What is the first book in the "Harry Potter" series?,Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Literature
Who wrote the play "Romeo and Juliet"?,William Shakespeare,Christopher Marlowe,John Milton,Oscar Wilde,Literature
What is the sequel to "To Kill a Mockingbird" by Harper Lee?,Go Set a Watchman,Gone with the Wind,The Catcher in the Rye,The Great Gatsby,Literature
Which author wrote "The Catcher in the Rye"?,J.D. Salinger,Ernest Hemingway,Mark Twain,F. Scott Fitzgerald,Literature
Which TV show features characters named Ross, Rachel, Chandler, Monica, Joey, and Phoebe?,Friends,The Office,Breaking Bad,Game of Thrones,Shows
What is the name of the popular Japanese anime about a ninja named Naruto Uzumaki?,Naruto,Bleach,One Piece,Dragon Ball Z,Shows
Which South Korean drama series became a global phenomenon with its "Gangnam Style" song?,Psy,Descendants of the Sun,Boys Over Flowers,Goblin,Shows
Who is the protagonist of the TV series "Breaking Bad"?,Walter White,Jesse Pinkman,Saul Goodman,Gus Fring,Shows
Which TV show features a high school chemistry teacher turned methamphetamine manufacturer?,Breaking Bad,Stranger Things,The Walking Dead,The Big Bang Theory,Shows
Who directed the movie "Jurassic Park"?,Steven Spielberg,James Cameron,Christopher Nolan,Quentin Tarantino,Movies
Which movie won the Academy Award for Best Picture in 1994?,Forrest Gump,The Shawshank Redemption,Pulp Fiction,Schindler's List,Movies
Who played the role of Neo in the movie "The Matrix"?,Keanu Reeves,Will Smith,Tom Cruise,Matt Damon,Movies
What is the highest-grossing film of all time (as of 2022)?,Avatar,Avengers: Endgame,Titanic,Star Wars: The Force Awakens,Movies
Who won the Academy Award for Best Actor for his role in "The Revenant"?,Leonardo DiCaprio,Eddie Redmayne,Matthew McConaughey,Colin Firth,Movies
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,Art
What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Geography
Who wrote the play "Hamlet"?,William Shakespeare,George Bernard Shaw,Oscar Wilde,Christopher Marlowe,Literature
What is the chemical symbol for sodium?,Na,K,Fe,Ag,Science
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Astronomy
Who directed the movie "The Shawshank Redemption"?,Frank Darabont,Quentin Tarantino,Steven Spielberg,Christopher Nolan,Movies
What is the capital of France?,Paris,London,Berlin,Rome,Geography
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Emmy Noether,Science
Which band is known for the hit song "Bohemian Rhapsody"?,Queen,The Beatles,Pink Floyd,AC/DC,Music
Who wrote the novel "Pride and Prejudice"?,Jane Austen,Charlotte Brontë,Emily Brontë,George Eliot,Literature
What is the chemical symbol for iron?,Fe,Na,K,Ca,Science
Which country is famous for the ancient ruins of Machu Picchu?,Peru,Brazil,Argentina,Chile,Geography
Who composed the music for the ballet "The Nutcracker"?,Pyotr Ilyich Tchaikovsky,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Music
What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,Geography
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,Science
Which continent is the driest inhabited continent on Earth?,Australia,Africa,South America,Europe,Geography
Who directed the movie "Inception"?,Christopher Nolan,Quentin Tarantino,Steven Spielberg,Martin Scorsese,Movies
What is the chemical symbol for helium?,He,H,O,Ne,Science
Who wrote the novel "The Great Gatsby"?,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Mark Twain,Literature
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus,Animals
Who composed the symphony "Symphony No. 9" (Beethoven's Ninth)?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky,Music
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Buenos Aires,Geography
Who developed the theory of evolution by natural selection?,Charles Darwin,Gregor Mendel,Louis Pasteur,Isaac Newton,Science
What is the chemical symbol for oxygen?,O,H,He,Ne,Science
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Sandro Botticelli,Art
Which ocean is the smallest by surface area?,Arctic Ocean,Indian Ocean,Southern Ocean,Atlantic Ocean,Geography
Who wrote the play "Romeo and Juliet"?,William Shakespeare,Christopher Marlowe,John Milton,Oscar Wilde,Literature
What is the chemical symbol for potassium?,K,Na,Fe,Ag,Science
Which planet is known as the "Blue Planet"?,Earth,Mars,Venus,Mercury,Astronomy
Who directed the movie "The Godfather"?,Francis Ford Coppola,Quentin Tarantino,Steven Spielberg,Martin Scorsese,Movies
What is the capital of Italy?,Rome,Milan,Florence,Naples,Geography
Who discovered electricity?,Benjamin Franklin,Thomas Edison,Nikola Tesla,James Watt,Science
What is the chemical symbol for carbon?,C,O,H,He,Science
Who painted the "The Starry Night"?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Art
Which country is known as the Land of the Rising Sun?,Japan,China,India,United Kingdom,Geography
Who wrote the novel "Moby-Dick"?,Herman Melville,Mark Twain,Emily Brontë,Charles Dickens,Literature
What is the chemical symbol for gold?,Au,Ag,Fe,Pb,Science
What is the largest desert in the world?,Sahara Desert,Gobi Desert,Arabian Desert,Kalahari Desert,Geography
Who directed the movie "Schindler's List"?,Steven Spielberg,Quentin Tarantino,Christopher Nolan,Martin Scorsese,Movies
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Geography
Who was the first President of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,History
What year did the Titanic sink?,1912,1908,1915,1920,History
Which civilization built the Great Wall of China?,Ancient China,Ancient Egypt,Mayans,Greeks,History
Who discovered America?,Christopher Columbus,Leif Erikson,Marco Polo,Vasco da Gama,History
What is the capital of France?,Paris,London,Berlin,Rome,Geography
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Emmy Noether,Science
What is the chemical symbol for sodium?,Na,K,Fe,Ag,Science
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Astronomy
Who directed the movie "The Shawshank Redemption"?,Frank Darabont,Quentin Tarantino,Steven Spielberg,Christopher Nolan,Movies
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Buenos Aires,Geography
Who composed the music for the ballet "The Nutcracker"?,Pyotr Ilyich Tchaikovsky,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Music
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,Science
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus,Animals
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Sandro Botticelli,Art
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Geography
Who was the first President of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,History
What year did the Titanic sink?,1912,1908,1915,1920,History
Which civilization built the Great Wall of China?,Ancient China,Ancient Egypt,Mayans,Greeks,History
Who discovered America?,Christopher Columbus,Leif Erikson,Marco Polo,Vasco da Gama,History
What is the capital of France?,Paris,London,Berlin,Rome,Geography
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Emmy Noether,Science
What is the chemical symbol for sodium?,Na,K,Fe,Ag,Science
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Astronomy
Who directed the movie "The Shawshank Redemption"?,Frank Darabont,Quentin Tarantino,Steven Spielberg,Christopher Nolan,Movies
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Buenos Aires,Geography
Who composed the music for the ballet "The Nutcracker"?,Pyotr Ilyich Tchaikovsky,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Music
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,Science
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus,Animals
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Sandro Botticelli,Art
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Geography
Who was the first President of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,History
What year did the Titanic sink?,1912,1908,1915,1920,History
Which civilization built the Great Wall of China?,Ancient China,Ancient Egypt,Mayans,Greeks,History
Who discovered America?,Christopher Columbus,Leif Erikson,Marco Polo,Vasco da Gama,History
What is the capital of France?,Paris,London,Berlin,Rome,Geography
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Emmy Noether,Science
What is the chemical symbol for sodium?,Na,K,Fe,Ag,Science
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Astronomy
Who directed the movie "The Shawshank Redemption"?,Frank Darabont,Quentin Tarantino,Steven Spielberg,Christopher Nolan,Movies
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Buenos Aires,Geography
Who composed the music for the ballet "The Nutcracker"?,Pyotr Ilyich Tchaikovsky,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Music
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,Science
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus,Animals
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Sandro Botticelli,Art
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Geography
Who was the first President of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,History
What year did the Titanic sink?,1912,1908,1915,1920,History
Which civilization built the Great Wall of China?,Ancient China,Ancient Egypt,Mayans,Greeks,History
Who discovered America?,Christopher Columbus,Leif Erikson,Marco Polo,Vasco da Gama,History
What is the capital of France?,Paris,London,Berlin,Rome,Geography
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Emmy Noether,Science
What is the chemical symbol for sodium?,Na,K,Fe,Ag,Science
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Astronomy
Who directed the movie "The Shawshank Redemption"?,Frank Darabont,Quentin Tarantino,Steven Spielberg,Christopher Nolan,Movies
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Buenos Aires,Geography
Who composed the music for the ballet "The Nutcracker"?,Pyotr Ilyich Tchaikovsky,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Music
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,Science
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus,Animals
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Sandro Botticelli,Art
Who wrote "Romeo and Juliet"?,William Shakespeare,John Donne,Christopher Marlowe,John Milton,Literature
What is the chemical symbol for silver?,Ag,Au,Cu,Pt,Science
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Bessie Coleman,Beryl Markham,Sally Ride,History
Which famous scientist formulated the theory of relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Science
What is the longest river in Europe?,Volga River,Don River,Danube River,Rhine River,Geography
Who wrote "The Hunger Games" trilogy?,Suzanne Collins,J.K. Rowling,Stephenie Meyer,Veronica Roth,Literature
What is the chemical symbol for potassium?,K,Na,Ca,Mg,Science
Who painted "The Starry Night"?,Vincent van Gogh,Pablo Picasso,Claude Monet,Gustav Klimt,Art
What is the world's largest coral reef system?,Great Barrier Reef,Belize Barrier Reef,New Caledonia Barrier Reef,Red Sea Coral Reef,Geography
Who composed the famous piece "Fur Elise"?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,Music
Which country is famous for the Leaning Tower of Pisa?,Italy,France,Spain,Germany,Geography
Who developed the first successful polio vaccine?,Jonas Salk,Albert Sabin,Edward Jenner,Louis Pasteur,Science
What is the capital of South Korea?,Seoul,Pyongyang,Tokyo,Beijing,Geography
Which artist is known for his melting clocks in the painting "The Persistence of Memory"?,Salvador Dalí,Pablo Picasso,Vincent van Gogh,Claude Monet,Art
What is the chemical symbol for calcium?,Ca,K,Na,Fe,Science
Who wrote the novel "The Catcher in the Rye"?,J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,Literature
What is the second largest planet in our solar system?,Saturn,Neptune,Jupiter,Mars,Astronomy
Who directed the movie "The Godfather"?,Francis Ford Coppola,Quentin Tarantino,Martin Scorsese,Christopher Nolan,Movies
What is the capital of India?,New Delhi,Mumbai,Kolkata,Bangalore,Geography
What is the chemical symbol for lead?,Pb,Fe,Au,Ag,Science
Who wrote the novel "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,Margaret Atwood,Literature
What is the chemical symbol for mercury?,Hg,He,Na,O,Science
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Leonardo da Vinci,Sandro Botticelli,Art
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Geography
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Albert Einstein,Guglielmo Marconi,History
What is the chemical symbol for copper?,Cu,Ag,Au,Fe,Science
Who wrote the novel "Moby-Dick"?,Herman Melville,Mark Twain,Emily Brontë,Charles Dickens,Literature
What is the chemical symbol for nitrogen?,N,O,H,He,Science
Who directed the movie "Forrest Gump"?,Robert Zemeckis,Steven Spielberg,Martin Scorsese,Quentin Tarantino,Movies
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,Geography
What is the chemical symbol for phosphorus?,P,K,Ca,Mg,Science
Who wrote the play "Macbeth"?,William Shakespeare,Christopher Marlowe,John Milton,Oscar Wilde,Literature
What is the chemical symbol for uranium?,U,Un,Us,Um,Science
Who composed the "Symphony No. 9" (Beethoven's Ninth)?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky,Music
What is the capital of Russia?,Moscow,St. Petersburg,Novosibirsk,Yekaterinburg,Geography
What is the chemical symbol for tin?,Sn,Fe,Au,Pb,Science
Who wrote the novel "The Lord of the Rings"?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,George R.R. Martin,Literature
What is the chemical symbol for helium?,He,H,O,Ne,Science
Who directed the movie "Inception"?,Christopher Nolan,Quentin Tarantino,Steven Spielberg,James Cameron,Movies
What is the capital of Germany?,Berlin,Munich,Hamburg,Frankfurt,Geography
What is the chemical symbol for silver?,Ag,Au,Cu,Pt,Science
Who wrote "Romeo and Juliet"?,William Shakespeare,John Donne,Christopher Marlowe,John Milton,Literature
What is the chemical symbol for silver?,Ag,Au,Cu,Pt,Science
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Bessie Coleman,Beryl Markham,Sally Ride,History
Which famous scientist formulated the theory of relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Science
What is the longest river in Europe?,Volga River,Don River,Danube River,Rhine River,Geography
Who wrote "The Hunger Games" trilogy?,Suzanne Collins,J.K. Rowling,Stephenie Meyer,Veronica Roth,Literature
What is the chemical symbol for potassium?,K,Na,Ca,Mg,Science
Who painted "The Starry Night"?,Vincent van Gogh,Pablo Picasso,Claude Monet,Gustav Klimt,Art
What is the world's largest coral reef system?,Great Barrier Reef,Belize Barrier Reef,New Caledonia Barrier Reef,Red Sea Coral Reef,Geography
Who composed the famous piece "Fur Elise"?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,Music
Which country is famous for the Leaning Tower of Pisa?,Italy,France,Spain,Germany,Geography
Who developed the first successful polio vaccine?,Jonas Salk,Albert Sabin,Edward Jenner,Louis Pasteur,Science
What is the capital of South Korea?,Seoul,Pyongyang,Tokyo,Beijing,Geography
Which artist is known for his melting clocks in the painting "The Persistence of Memory"?,Salvador Dalí,Pablo Picasso,Vincent van Gogh,Claude Monet,Art
What is the chemical symbol for calcium?,Ca,K,Na,Fe,Science
Who wrote the novel "The Catcher in the Rye"?,J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,Literature
What is the second largest planet in our solar system?,Saturn,Neptune,Jupiter,Mars,Astronomy
Who directed the movie "The Godfather"?,Francis Ford Coppola,Quentin Tarantino,Martin Scorsese,Christopher Nolan,Movies
What is the capital of India?,New Delhi,Mumbai,Kolkata,Bangalore,Geography
What is the chemical symbol for lead?,Pb,Fe,Au,Ag,Science
Who wrote the novel "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,Margaret Atwood,Literature
What is the chemical symbol for mercury?,Hg,He,Na,O,Science
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Leonardo da Vinci,Sandro Botticelli,Art
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Geography
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Albert Einstein,Guglielmo Marconi,History
What is the chemical symbol for copper?,Cu,Ag,Au,Fe,Science
Who wrote the novel "Moby-Dick"?,Herman Melville,Mark Twain,Emily Brontë,Charles Dickens,Literature
What is the chemical symbol for nitrogen?,N,O,H,He,Science
Who directed the movie "Forrest Gump"?,Robert Zemeckis,Steven Spielberg,Martin Scorsese,Quentin Tarantino,Movies
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,Geography
What is the chemical symbol for phosphorus?,P,K,Ca,Mg,Science
Who wrote the play "Macbeth"?,William Shakespeare,Christopher Marlowe,John Milton,Oscar Wilde,Literature
What is the chemical symbol for uranium?,U,Un,Us,Um,Science
Who composed the "Symphony No. 9" (Beethoven's Ninth)?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky,Music
What is the capital of Russia?,Moscow,St. Petersburg,Novosibirsk,Yekaterinburg,Geography
What is the chemical symbol for tin?,Sn,Fe,Au,Pb,Science
Who wrote the novel "The Lord of the Rings"?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,George R.R. Martin,Literature
What is the chemical symbol for helium?,He,H,O,Ne,Science
Who directed the movie "Inception"?,Christopher Nolan,Quentin Tarantino,Steven Spielberg,James Cameron,Movies
What is the capital of Germany?,Berlin,Munich,Hamburg,Frankfurt,Geography
What is the chemical symbol for silver?,Ag,Au,Cu,Pt,Science
Who wrote "Romeo and Juliet"?,William Shakespeare,John Donne,Christopher Marlowe,John Milton,Literature
What is the chemical symbol for silver?,Ag,Au,Cu,Pt,Science
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Bessie Coleman,Beryl Markham,Sally Ride,History
Which famous scientist formulated the theory of relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Science
What is the longest river in Europe?,Volga River,Don River,Danube River,Rhine River,Geography
Who wrote "The Hunger Games" trilogy?,Suzanne Collins,J.K. Rowling,Stephenie Meyer,Veronica Roth,Literature
What is the chemical symbol for potassium?,K,Na,Ca,Mg,Science
Who painted "The Starry Night"?,Vincent van Gogh,Pablo Picasso,Claude Monet,Gustav Klimt,Art
What is the world's largest coral reef system?,Great Barrier Reef,Belize Barrier Reef,New Caledonia Barrier Reef,Red Sea Coral Reef,Geography
Who composed the famous piece "Fur Elise"?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,Music
Which country is famous for the Leaning Tower of Pisa?,Italy,France,Spain,Germany,Geography
Who developed the first successful polio vaccine?,Jonas Salk,Albert Sabin,Edward Jenner,Louis Pasteur,Science
What is the capital of South Korea?,Seoul,Pyongyang,Tokyo,Beijing,Geography
Which artist is known for his melting clocks in the painting "The Persistence of Memory"?,Salvador Dalí,Pablo Picasso,Vincent van Gogh,Claude Monet,Art
What is the chemical symbol for calcium?,Ca,K,Na,Fe,Science
Who wrote the novel "The Catcher in the Rye"?,J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,Literature
What is the second largest planet in our solar system?,Saturn,Neptune,Jupiter,Mars,Astronomy
Who directed the movie "The Godfather"?,Francis Ford Coppola,Quentin Tarantino,Martin Scorsese,Christopher Nolan,Movies
What is the capital of India?,New Delhi,Mumbai,Kolkata,Bangalore,Geography
What is the chemical symbol for lead?,Pb,Fe,Au,Ag,Science
Who wrote the novel "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,Margaret Atwood,Literature
What is the chemical symbol for mercury?,Hg,He,Na,O,Science
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Leonardo da Vinci,Sandro Botticelli,Art
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Geography
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Albert Einstein,Guglielmo Marconi,History
What is the chemical symbol for copper?,Cu,Ag,Au,Fe,Science
Who wrote the novel "Moby-Dick"?,Herman Melville,Mark Twain,Emily Brontë,Charles Dickens,Literature
What is the chemical symbol for nitrogen?,N,O,H,He,Science
Who directed the movie "Forrest Gump"?,Robert Zemeckis,Steven Spielberg,Martin Scorsese,Quentin Tarantino,Movies
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,Geography
What is the chemical symbol for phosphorus?,P,K,Ca,Mg,Science
Who wrote the play "Macbeth"?,William Shakespeare,Christopher Marlowe,John Milton,Oscar Wilde,Literature
What is the chemical symbol for uranium?,U,Un,Us,Um,Science
Who composed the "Symphony No. 9" (Beethoven's Ninth)?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky,Music
What is the capital of Russia?,Moscow,St. Petersburg,Novosibirsk,Yekaterinburg,Geography
What is the chemical symbol for tin?,Sn,Fe,Au,Pb,Science
Who wrote the novel "The Lord of the Rings"?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,George R.R. Martin,Literature
What is the chemical symbol for helium?,He,H,O,Ne,Science
Who directed the movie "Inception"?,Christopher Nolan,Quentin Tarantino,Steven Spielberg,James Cameron,Movies
What is the capital of Germany?,Berlin,Munich,Hamburg,Frankfurt,Geography